chembl_id,n_active,n_total,activity_rate,n_kinases,n_inactive
CHEMBL104333,3,3,1.0,2,0
CHEMBL104357,1,1,1.0,1,0
CHEMBL104373,0,1,0.0,1,1
CHEMBL104408,2,5,0.4,2,3
CHEMBL104409,1,1,1.0,1,0
CHEMBL104414,1,1,1.0,1,0
CHEMBL104450,1,1,1.0,1,0
CHEMBL104466,0,6,0.0,4,6
CHEMBL104467,0,5,0.0,3,5
CHEMBL104468,2,7,0.2857142857142857,6,5
CHEMBL104505,2,2,1.0,1,0
CHEMBL104519,3,3,1.0,2,0
CHEMBL104526,5,5,1.0,2,0
CHEMBL104532,0,1,0.0,1,1
CHEMBL104582,0,4,0.0,1,4
CHEMBL104583,1,1,1.0,1,0
CHEMBL104640,0,1,0.0,1,1
CHEMBL104644,1,1,1.0,1,0
CHEMBL104651,1,1,1.0,1,0
CHEMBL104682,1,1,1.0,1,0
CHEMBL104691,1,1,1.0,1,0
CHEMBL104704,0,1,0.0,1,1
CHEMBL104749,4,4,1.0,1,0
CHEMBL104779,1,1,1.0,1,0
CHEMBL104813,1,1,1.0,1,0
CHEMBL104857,1,1,1.0,1,0
CHEMBL104904,0,1,0.0,1,1
CHEMBL104937,3,5,0.6,1,2
CHEMBL104941,5,8,0.625,3,3
CHEMBL104963,1,1,1.0,1,0
CHEMBL104970,0,1,0.0,1,1
CHEMBL104973,1,1,1.0,1,0
CHEMBL104983,2,2,1.0,1,0
CHEMBL104991,1,1,1.0,1,0
CHEMBL105005,0,1,0.0,1,1
CHEMBL105056,1,1,1.0,1,0
CHEMBL105061,1,1,1.0,1,0
CHEMBL105082,2,2,1.0,1,0
CHEMBL105171,0,3,0.0,1,3
CHEMBL105213,2,2,1.0,2,0
CHEMBL105216,2,2,1.0,1,0
CHEMBL105220,1,1,1.0,1,0
CHEMBL105248,4,4,1.0,1,0
CHEMBL105255,1,1,1.0,1,0
CHEMBL105256,2,2,1.0,1,0
CHEMBL105288,0,1,0.0,1,1
CHEMBL105348,0,1,0.0,1,1
CHEMBL105350,0,1,0.0,1,1
CHEMBL105395,2,2,1.0,1,0
CHEMBL105421,0,1,0.0,1,1
CHEMBL105427,1,1,1.0,1,0
CHEMBL105436,5,7,0.7142857142857143,4,2
CHEMBL105438,1,1,1.0,1,0
CHEMBL105442,16,342,0.04678362573099415,329,326
