chembl_id,n_active,n_total,activity_rate,n_kinases,n_inactive
CHEMBL1202927,11,11,1.0,2,0
CHEMBL1202928,3,3,1.0,1,0
CHEMBL120300,1,1,1.0,1,0
CHEMBL120316,1,1,1.0,1,0
CHEMBL120317,0,1,0.0,1,1
CHEMBL1204095,4,4,1.0,1,0
CHEMBL1204097,0,4,0.0,1,4
CHEMBL120453,0,1,0.0,1,1
CHEMBL120645,1,2,0.5,2,1
CHEMBL120650,1,1,1.0,1,0
CHEMBL120663,1,1,1.0,1,0
CHEMBL120730,1,1,1.0,1,0
CHEMBL120911,1,1,1.0,1,0
CHEMBL120953,1,1,1.0,1,0
CHEMBL120976,1,1,1.0,1,0
CHEMBL120977,1,1,1.0,1,0
CHEMBL120984,1,1,1.0,1,0
CHEMBL121022,1,1,1.0,1,0
CHEMBL121182,1,1,1.0,1,0
CHEMBL121294,0,1,0.0,1,1
CHEMBL12131,0,3,0.0,2,3
CHEMBL121317,1,1,1.0,1,0
CHEMBL1213510,2,2,1.0,1,0
CHEMBL121361,1,1,1.0,1,0
CHEMBL1213804,0,1,0.0,1,1
CHEMBL121391,1,1,1.0,1,0
CHEMBL1213922,0,1,0.0,1,1
CHEMBL1213923,0,1,0.0,1,1
CHEMBL1213924,1,1,1.0,1,0
CHEMBL1213925,0,1,0.0,1,1
CHEMBL1213973,1,1,1.0,1,0
CHEMBL1213974,1,1,1.0,1,0
CHEMBL1213975,1,1,1.0,1,0
CHEMBL1213976,1,1,1.0,1,0
CHEMBL121400,1,1,1.0,1,0
CHEMBL121405,1,1,1.0,1,0
CHEMBL121415,1,1,1.0,1,0
CHEMBL121475,1,1,1.0,1,0
CHEMBL121512,0,1,0.0,1,1
CHEMBL121580,1,1,1.0,1,0
CHEMBL121623,1,1,1.0,1,0
CHEMBL121633,1,1,1.0,1,0
CHEMBL122061,1,1,1.0,1,0
CHEMBL122243,1,1,1.0,1,0
CHEMBL122574,1,1,1.0,1,0
CHEMBL122652,1,1,1.0,1,0
CHEMBL1229517,2,2,1.0,2,0
CHEMBL1229592,0,2,0.0,1,2
CHEMBL1230020,1,2,0.5,2,1
CHEMBL1230416,1,1,1.0,1,0
CHEMBL1230541,1,1,1.0,1,0
CHEMBL1230609,1,2,0.5,2,1
CHEMBL1231370,1,1,1.0,1,0
CHEMBL1231371,2,2,1.0,2,0
CHEMBL1231372,1,1,1.0,1,0
CHEMBL1231486,0,1,0.0,1,1
CHEMBL1233654,0,2,0.0,2,2
CHEMBL1233659,1,3,0.3333333333333333,3,2
CHEMBL1233747,0,1,0.0,1,1
CHEMBL1234353,1,1,1.0,1,0
CHEMBL1234354,5,5,1.0,4,0
CHEMBL123469,1,1,1.0,1,0
CHEMBL1235156,0,1,0.0,1,1
CHEMBL1235213,0,1,0.0,1,1
CHEMBL1236107,0,2,0.0,2,2
CHEMBL1236157,0,1,0.0,1,1
CHEMBL1237255,4,4,1.0,4,0
CHEMBL124006,4,4,1.0,4,0
CHEMBL1240885,0,1,0.0,1,1
CHEMBL1241489,1,1,1.0,1,0
CHEMBL1241588,1,1,1.0,1,0
CHEMBL1241674,1,2,0.5,2,1
CHEMBL1241946,0,1,0.0,1,1
CHEMBL1242290,1,1,1.0,1,0
CHEMBL124260,0,1,0.0,1,1
CHEMBL1242660,1,1,1.0,1,0
CHEMBL1242754,1,1,1.0,1,0
CHEMBL1242847,1,1,1.0,1,0
CHEMBL1242973,0,3,0.0,2,3
CHEMBL124660,0,3,0.0,3,3
CHEMBL125044,4,4,1.0,4,0
CHEMBL1253612,0,1,0.0,1,1
CHEMBL1256447,1,1,1.0,1,0
CHEMBL1256448,1,1,1.0,1,0
CHEMBL1256449,1,1,1.0,1,0
CHEMBL1256450,1,1,1.0,1,0
CHEMBL1256451,1,1,1.0,1,0
CHEMBL1256452,1,1,1.0,1,0
CHEMBL1256453,1,1,1.0,1,0
CHEMBL1256454,1,1,1.0,1,0
CHEMBL1256455,1,1,1.0,1,0
CHEMBL1256456,1,1,1.0,1,0
CHEMBL1256457,1,1,1.0,1,0
CHEMBL1256458,1,1,1.0,1,0
CHEMBL1256459,1,1,1.0,1,0
CHEMBL1256460,1,1,1.0,1,0
CHEMBL1256461,1,1,1.0,1,0
CHEMBL1256462,1,1,1.0,1,0
CHEMBL1256463,1,1,1.0,1,0
CHEMBL1256464,1,1,1.0,1,0
CHEMBL1256465,1,1,1.0,1,0
CHEMBL1256466,1,1,1.0,1,0
CHEMBL1256467,1,1,1.0,1,0
CHEMBL1256468,1,1,1.0,1,0
CHEMBL1256469,1,1,1.0,1,0
CHEMBL1257064,3,3,1.0,1,0
CHEMBL1257089,2,3,0.6666666666666666,1,1
CHEMBL1257090,1,3,0.3333333333333333,1,2
CHEMBL1257114,2,3,0.6666666666666666,1,1
CHEMBL1258995,1,1,1.0,1,0
CHEMBL1259013,1,1,1.0,1,0
CHEMBL1259031,1,1,1.0,1,0
CHEMBL1259050,1,1,1.0,1,0
CHEMBL1259070,1,1,1.0,1,0
CHEMBL1259086,1,1,1.0,1,0
CHEMBL1259105,1,1,1.0,1,0
CHEMBL1259120,1,1,1.0,1,0
CHEMBL1259136,1,1,1.0,1,0
CHEMBL1259137,1,1,1.0,1,0
CHEMBL126077,0,1,0.0,1,1
CHEMBL126408,0,1,0.0,1,1
CHEMBL126602,0,1,0.0,1,1
CHEMBL126615,0,1,0.0,1,1
CHEMBL126652,0,1,0.0,1,1
CHEMBL1269812,0,1,0.0,1,1
CHEMBL127205,0,1,0.0,1,1
CHEMBL127506,0,1,0.0,1,1
CHEMBL127523,0,1,0.0,1,1
CHEMBL1276127,2,2,1.0,1,0
CHEMBL1277433,0,3,0.0,2,3
CHEMBL127798,0,1,0.0,1,1
CHEMBL127819,0,1,0.0,1,1
CHEMBL128455,0,1,0.0,1,1
CHEMBL128568,0,1,0.0,1,1
CHEMBL128589,1,1,1.0,1,0
CHEMBL1287853,1,2,0.5,2,1
CHEMBL128795,0,1,0.0,1,1
CHEMBL1289926,0,2,0.0,2,2
CHEMBL129,0,2,0.0,2,2
CHEMBL129454,0,1,0.0,1,1
CHEMBL130075,0,1,0.0,1,1
CHEMBL130414,0,1,0.0,1,1
CHEMBL1305300,0,1,0.0,1,1
CHEMBL130719,1,1,1.0,1,0
CHEMBL130943,0,1,0.0,1,1
CHEMBL1310318,0,1,0.0,1,1
CHEMBL131167,0,1,0.0,1,1
CHEMBL131346,1,1,1.0,1,0
CHEMBL1317546,1,1,1.0,1,0
CHEMBL132399,0,1,0.0,1,1
CHEMBL132525,1,1,1.0,1,0
CHEMBL132612,3,3,1.0,2,0
CHEMBL132714,0,1,0.0,1,1
CHEMBL132720,3,3,1.0,2,0
CHEMBL1328065,0,1,0.0,1,1
CHEMBL13306,1,1,1.0,1,0
CHEMBL133498,0,8,0.0,1,8
CHEMBL1336,3,5,0.6,5,2
CHEMBL1336959,0,1,0.0,1,1
CHEMBL133777,1,1,1.0,1,0
CHEMBL133853,3,3,1.0,2,0
CHEMBL1339149,0,1,0.0,1,1
CHEMBL1342,0,3,0.0,1,3
CHEMBL1342017,0,1,0.0,1,1
CHEMBL134287,1,1,1.0,1,0
CHEMBL134413,2,2,1.0,2,0
CHEMBL134690,3,3,1.0,2,0
CHEMBL134851,1,1,1.0,1,0
CHEMBL135611,3,3,1.0,2,0
CHEMBL136106,1,1,1.0,1,0
CHEMBL136244,1,1,1.0,1,0
CHEMBL136280,1,1,1.0,1,0
CHEMBL136332,1,1,1.0,1,0
CHEMBL136457,1,1,1.0,1,0
CHEMBL136511,1,1,1.0,1,0
CHEMBL136688,1,1,1.0,1,0
CHEMBL136724,0,1,0.0,1,1
CHEMBL136775,1,1,1.0,1,0
CHEMBL136874,0,1,0.0,1,1
CHEMBL137388,0,1,0.0,1,1
CHEMBL137611,0,1,0.0,1,1
CHEMBL1381119,0,1,0.0,1,1
CHEMBL138319,1,1,1.0,1,0
CHEMBL1385230,0,2,0.0,1,2
CHEMBL138994,1,1,1.0,1,0
CHEMBL139,0,1,0.0,1,1
CHEMBL139040,0,1,0.0,1,1
CHEMBL139249,1,1,1.0,1,0
CHEMBL1394402,2,2,1.0,2,0
CHEMBL139633,0,1,0.0,1,1
CHEMBL139856,0,1,0.0,1,1
CHEMBL139991,1,1,1.0,1,0
CHEMBL140,1,2,0.5,2,1
CHEMBL1401272,0,1,0.0,1,1
CHEMBL140242,1,1,1.0,1,0
CHEMBL1406130,0,1,0.0,1,1
CHEMBL141294,1,1,1.0,1,0
CHEMBL142115,1,1,1.0,1,0
CHEMBL14249,0,1,0.0,1,1
CHEMBL143134,1,1,1.0,1,0
CHEMBL143141,1,1,1.0,1,0
CHEMBL143207,1,1,1.0,1,0
CHEMBL143307,0,1,0.0,1,1
CHEMBL143373,1,1,1.0,1,0
CHEMBL1437888,4,4,1.0,4,0
CHEMBL143886,1,1,1.0,1,0
CHEMBL1448756,0,1,0.0,1,1
CHEMBL1458296,0,1,0.0,1,1
CHEMBL1459149,4,4,1.0,4,0
CHEMBL1460047,4,4,1.0,4,0
CHEMBL147356,1,1,1.0,1,0
CHEMBL147390,1,1,1.0,1,0
CHEMBL14762,3,15,0.2,9,12
CHEMBL1477426,0,1,0.0,1,1
CHEMBL1478742,1,1,1.0,1,0
